Policyholder,name,Email,Telephone,Customers Age,Coverage,Payments,Product,Product,Status
Allan ,Namanya,allan .namanya@email.com,772404020,33,7200000,30000,101,Home Insurance,Active
Barigye,Nahamya,barigye.nahamya@email.com,702404020,27,3000000,25000,102,Education Plan,Active
Cynthia,Zuberi,cynthia.zuberi@email.com,,36,3600000,30000,103,Education Plan,Active
Douglas,Yona,douglas.yona@email.com,,36,360000,2000,104,Health Insurance,Active
Edgar,Tesfaye,edgar.tesfaye@email.com,,43,4500000,25000,105,Health Insurance,Active
Felix,Selemani,felix.selemani@email.com,,40,5400000,30000,106,Health Insurance,Active
George,Mwangi,george.mwangi@email.com,,25,3600000,30000,107,Education Plan,Active
Ian,Mugisha,ian.mugisha@email.com,,26,270000,1500,108,Health Insurance,Active
Jeremy,Kamau,jeremy.kamau@email.com,,26,12000000,100000,109,Education Plan,Active
Kevina,Dawit,kevina.dawit@email.com,,46,5400000,30000,110,Health Insurance,Active
Lionel,Biko,lionel.biko@email.com,,40,18000000,100000,111,Health Insurance,Active
Musa,Said,musa.said@email.com,,49,5400000,30000,112,Health Insurance,Active
Neo,Ayele,neo.ayele@email.com,,40,5400000,30000,113,Health Insurance,Active
Oscar,Mwine,oscar.mwine@email.com,,43,18000000,100000,114,Health Insurance,Active
Philippa,Mboneko,philippa.mboneko@email.com,,46,49500000,275000,115,Health Insurance,Active
Quinten,Amare,quinten.amare@email.com,,33,3600000,30000,116,Education Plan,Active
Roger,Moore,roger.moore@email.com,,32,3600000,30000,117,Education Plan,Active
India,Eshetu,india.eshetu@email.com,,38,3600000,30000,118,Education Plan,Active
Juliett,Yetu,juliett.yetu@email.com,,27,20100000,335000,119,Car Insurance,Suspended
Kilo,Jamal,kilo.jamal@email.com,,45,7200000,40000,120,Health Insurance,Active
Lima,Makonnen,lima.makonnen@email.com,,30,2400000,20000,121,Education Plan,Active
Mike,Madera,mike.madera@email.com,,46,18000000,100000,122,Health Insurance,Active
November,Wandera,november.wandera@email.com,,23,12000000,100000,123,Education Plan,Active
Olivia,Asiya,olivia.asiya@email.com,,43,12000000,200000,124,Car Insurance,Active
Paul,Bahati,paul.bahati@email.com,,35,12000000,100000,125,Education Plan,Active
Quinn,Saba,quinn.saba@email.com,,36,24000000,100000,126,Home Insurance,Active
Romeo,Kato,romeo.kato@email.com,,37,18000000,75000,127,Home Insurance,Active
Sierra,Zainab,sierra.zainab@email.com,,42,15000000,250000,128,Car Insurance,Active
Tango,Mukasa,tango.mukasa@email.com,,26,12000000,100000,129,Education Plan,Active
Tokyo,Nsubuga,tokyo.nsubuga@email.com,,32,12000000,100000,130,Education Plan,Active
Uniky,Sentongo,uniky.sentongo@email.com,,34,12000000,50000,131,Home Insurance,Active
Victor,Ssemanda,victor.ssemanda@email.com,,25,18000000,75000,132,Home Insurance,Active
Wangiru,Nkatha,wangiru.nkatha@email.com,,29,6000000,50000,133,Education Plan,Active
Yasmin,Saida,yasmin.saida@email.com,,34,18000000,75000,134,Home Insurance,Active
Yannick,Rukundo,yannick.rukundo@email.com,,26,3600000,30000,135,Education Plan,Active
Zulu,Karungi,zulu.karungi@email.com,,23,2400000,20000,136,Education Plan,Active
Apple,Katende,apple.katende@email.com,,28,3000000,25000,137,Education Plan,Active
Beatrice,Balidaawa,beatrice.balidaawa@email.com,,24,2400000,20000,138,Education Plan,Active
Candice,Nagudi,candice.nagudi@email.com,,30,30000000,500000,139,Car Insurance,Suspended
Daudi,Bwambale,daudi.bwambale@email.com,,44,9000000,150000,140,Car Insurance,Active
Eric,Nabwiso,eric.nabwiso@email.com,,45,12000000,200000,141,Car Insurance,Active
Filbert,Okot,filbert.okot@email.com,,23,12000000,100000,142,Education Plan,Active
Garanja,Okoth,garanja.okoth@email.com,,35,12000000,50000,143,Home Insurance,Active
Henry,Otim,henry.otim@email.com,,26,12000000,100000,144,Education Plan,Active
Iris,Acen,iris.acen@email.com,,34,6000000,50000,145,Education Plan,Active
Jimmy,Olara,jimmy.olara@email.com,,31,9000000,75000,146,Education Plan,Active
Kamau,Onyango,kamau.onyango@email.com,,31,18000000,150000,147,Education Plan,Active
Kelvin,Odur,kelvin.odur@email.com,,30,6000000,50000,148,Education Plan,Active
Maurice,Katongole,maurice.katongole@email.com,,33,6000000,50000,149,Education Plan,Active
Mary,Nakimera,mary.nakimera@email.com,,38,12000000,100000,150,Education Plan,Active
Nicky,Ssebunya,nicky.ssebunya@email.com,,44,18000000,100000,151,Health Insurance,Active
Nicole,Sserugo,nicole.sserugo@email.com,,26,14400000,60000,152,Home Insurance,Active
Owen,Mugerwa,owen.mugerwa@email.com,,38,6000000,50000,153,Education Plan,Active
Pius,Kayondo,pius.kayondo@email.com,,43,18000000,100000,154,Health Insurance,Active
Petr,Wase,petr.wase@email.com,,59,21000000,350000,155,Car Insurance,Suspended
Pamella,Namusoke,pamella.namusoke@email.com,,33,24000000,200000,156,Education Plan,Active
Pauline,Nabirumbi,pauline.nabirumbi@email.com,,31,30000000,500000,157,Car Insurance,Suspended
Rebecca,Ayella,rebecca.ayella@email.com,,24,2400000,20000,158,Education Plan,Active
Samson,Tenywa,samson.tenywa@email.com,,25,18000000,300000,159,Car Insurance,Active
Samuel,Obal,samuel.obal@email.com,,26,3600000,30000,160,Education Plan,Active
Talasha,Apire,talasha.apire@email.com,,33,6000000,50000,161,Education Plan,Active
Viola,Akello,viola.akello@email.com,,31,7200000,60000,162,Education Plan,Active
Vanessa,Nyeko,vanessa.nyeko@email.com,,25,9000000,75000,163,Education Plan,Active
Vivian,Kaboyo,vivian.kaboyo@email.com,,44,12000000,200000,164,Car Insurance,Active
Walter,Mugisa,walter.mugisa@email.com,,41,30000000,500000,165,Car Insurance,Suspended
Wendy,Kyomuhendo,wendy.kyomuhendo@email.com,,40,18000000,100000,166,Health Insurance,Active
Wisdom,Ekadu,wisdom.ekadu@email.com,,21,6000000,50000,167,Education Plan,Active
Xavier,Lapony,xavier.lapony@email.com,,22,3600000,30000,168,Education Plan,Active
Yunus,Owangonza,yunus.owangonza@email.com,,28,15600000,65000,169,Home Insurance,Active
Yosam,Amooti,yosam.amooti@email.com,,33,3600000,30000,170,Education Plan,Active
Yoweri,Toyota,yoweri.toyota@email.com,,30,10500000,175000,171,Car Insurance,Active
Zulu,Thabo,zulu.thabo@email.com,,32,6000000,50000,172,Education Plan,Active
Zuku,Nyendo,zuku.nyendo@email.com,,22,4800000,40000,173,Education Plan,Active
Zephania,Musisi,zephania.musisi@email.com,,36,12000000,200000,174,Car Insurance,Active
Kimathi,Gichuhi,kimathi.gichuhi@email.com,,36,24000000,400000,175,Car Insurance,Suspended
Karanja,Ndungu,karanja.ndungu@email.com,,32,18000000,300000,176,Car Insurance,Active
Wanjuri,Wanjiku,wanjuri.wanjiku@email.com,,45,12000000,200000,177,Car Insurance,Active
Wambui,Githaiga,wambui.githaiga@email.com,,44,14400000,60000,178,Home Insurance,Active
Wasake,Wekesa,wasake.wekesa@email.com,,21,6000000,100000,179,Car Insurance,Active
Wamurubu,Ingosi,wamurubu.ingosi@email.com,,29,12000000,100000,180,Education Plan,Active
Kiplagat,Chebet,kiplagat.chebet@email.com,,29,14400000,60000,181,Home Insurance,Active
Chelagat,Kiptanui,chelagat.kiptanui@email.com,,32,3000000,25000,182,Education Plan,Active
Desmond,Chepkemoi,desmond.chepkemoi@email.com,,33,4200000,35000,183,Education Plan,Active
Denzel,Mutua,denzel.mutua@email.com,,25,3600000,30000,184,Education Plan,Active
Daisy,Wambua,daisy.wambua@email.com,,21,6000000,50000,185,Education Plan,Active
Edna,Akol,edna.akol@email.com,,46,30000000,500000,186,Car Insurance,Suspended
Ferdinand,Musoke,ferdinand.musoke@email.com,,34,6000000,50000,187,Education Plan,Active
Georgina,Okurut,georgina.okurut@email.com,,34,3600000,30000,188,Education Plan,Active
Harriet,Basemera,harriet.basemera@email.com,,32,2400000,20000,189,Education Plan,Active
Jordan,Atwoki,jordan.atwoki@email.com,,25,6000000,50000,190,Education Plan,Active
Justine,Kato,justine.kato@email.com,,26,6000000,50000,191,Education Plan,Active
Janessa,Kyomugisa,janessa.kyomugisa@email.com,,35,6000000,50000,192,Education Plan,Active
Jericho,Ndaula,jericho.ndaula@email.com,,44,12000000,200000,193,Car Insurance,Active
James,Kigongo,james.kigongo@email.com,,41,15000000,250000,194,Car Insurance,Active
Joshua,Orech,joshua.orech@email.com,,35,6000000,50000,195,Education Plan,Active
Kisitu,Godfrey,kisitu.godfrey@email.com,,41,9000000,50000,196,Health Insurance,Active
Kimamboi,Musa,kimamboi.musa@email.com,,45,18000000,300000,197,Car Insurance,Active
Nkatha,Ponsiano,nkatha.ponsiano@email.com,,26,2400000,20000,198,Education Plan,Active
Nkata,Mbaguta,nkata.mbaguta@email.com,,26,6000000,50000,199,Education Plan,Active
Nixon,Odoch,nixon.odoch@email.com,,25,3600000,30000,200,Education Plan,Active
 # Class for Policyholders,,,,,,,,,
class holder:,,,,,,,,,
    def __init__(self, holder_id, name, age, telephone):,,,,,
        self.holder_id = holder_id,,,,,,,,,
        self.name = name,,,,,,,,,
        self.age = age,,,,,,,,,
        self.telephone = telephone,,,,,,,,,
    ,,,,,,,,,
    def display_details(self):,,,,,,,,,
"        print(f""Holder ID: {self.policyholder_id}"")",,,,,,,,,
"        print(f""Name: {self.name}"")",,,,,,,,,
"        print(f""Age: {self.age}"")",,,,,,,,,
"        print(f""Contact Info: {self.contact_info}"")",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
# Class for Products,,,,,,,,,
class Product:,,,,,,,,,
    def __init__(self, product_id, name, coverage_amount, premium):,,,,,
        self.product_id = product_id,,,,,,,,,
        self.name = name,,,,,,,,,
        self.coverage_amount = coverage_amount,,,,,,,,,
        self.premium = premium,,,,,,,,,
    ,,,,,,,,,
    def display_details(self):,,,,,,,,,
"        print(f""Product ID: {self.product_id}"")",,,,,,,,,
"        print(f""Name: {self.name}"")",,,,,,,,,
"        print(f""Coverage Amount: ${self.coverage_amount}"")",,,,,,,,,
"        print(f""Premium: ${self.premium}"")",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
# Class for Payments,,,,,,,,,
class Payment:,,,,,,,,,
    def __init__(self, payment_id, policyholder_id, amount, date, status):,,,,
        self.payment_id = payment_id,,,,,,,,,
        self.policyholder_id = policyholder_id,,,,,,,,,
        self.amount = amount,,,,,,,,,
        self.date = date,,,,,,,,,
        self.status = status,,,,,,,,,
    ,,,,,,,,,
    def display_details(self):,,,,,,,,,
"        print(f""Payment ID: {self.payment_id}"")",,,,,,,,,
"        print(f""Policyholder ID: {self.policyholder_id}"")",,,,,,,,,
"        print(f""Amount: ${self.amount}"")",,,,,,,,,
"        print(f""Date: {self.date}"")",,,,,,,,,
"        print(f""Status: {self.status}"")",,,,,,,,,
